Frame,DensityPercentage
626,2.83,2025-07-22 17:32:55,126
627,2.83,2025-07-22 17:32:55,126
628,2.84,2025-07-22 17:33:00,126
629,2.84,2025-07-22 17:33:00,126
630,2.84,2025-07-22 17:33:00,127
631,2.73,2025-07-22 17:33:00,127
632,2.82,2025-07-22 17:33:00,127
633,2.82,2025-07-22 17:33:04,127
634,2.9,2025-07-22 17:33:04,127
635,2.91,2025-07-22 17:33:04,128
636,2.92,2025-07-22 17:33:04,128
637,2.86,2025-07-22 17:33:04,128
638,2.78,2025-07-22 17:33:09,128
639,2.39,2025-07-22 17:33:09,128
640,2.9,2025-07-22 17:33:09,129
641,2.84,2025-07-22 17:33:09,129
642,2.86,2025-07-22 17:33:09,129
643,2.71,2025-07-22 17:33:16,129
644,2.78,2025-07-22 17:33:16,129
645,2.78,2025-07-22 17:33:16,130
646,2.75,2025-07-22 17:33:16,130
647,2.74,2025-07-22 17:33:16,130
648,2.31,2025-07-22 17:33:21,130
649,2.4,2025-07-22 17:33:21,130
650,2.36,2025-07-22 17:33:21,131
651,2.33,2025-07-22 17:33:21,131
652,2.26,2025-07-22 17:33:21,131
653,2.26,2025-07-22 17:33:25,131
654,2.34,2025-07-22 17:33:25,131
655,2.29,2025-07-22 17:33:25,132
656,2.4,2025-07-22 17:33:25,132
657,2.48,2025-07-22 17:33:25,132
658,2.51,2025-07-22 17:33:31,132
659,2.47,2025-07-22 17:33:31,132
660,2.49,2025-07-22 17:33:31,133
661,2.49,2025-07-22 17:33:31,133
662,2.48,2025-07-22 17:33:31,133
663,2.48,2025-07-22 17:33:37,133
664,2.44,2025-07-22 17:33:37,133
665,2.78,2025-07-22 17:33:37,134
666,2.9,2025-07-22 17:33:37,134
667,2.91,2025-07-22 17:33:37,134
668,2.91,2025-07-22 17:33:42,134
669,2.9,2025-07-22 17:33:42,134
670,2.9,2025-07-22 17:33:42,135
671,2.92,2025-07-22 17:33:42,135
672,2.91,2025-07-22 17:33:42,135
673,2.92,2025-07-22 17:33:46,135
674,2.9,2025-07-22 17:33:46,135
675,2.98,2025-07-22 17:33:46,136
676,3.02,2025-07-22 17:33:46,136
677,2.94,2025-07-22 17:33:46,136
678,3.04,2025-07-22 17:33:53,136
679,3.23,2025-07-22 17:33:53,136
680,3.03,2025-07-22 17:33:53,137
681,3.02,2025-07-22 17:33:53,137
682,2.91,2025-07-22 17:33:53,137
683,2.94,2025-07-22 17:34:00,137
684,2.93,2025-07-22 17:34:00,137
685,2.92,2025-07-22 17:34:00,138
686,2.9,2025-07-22 17:34:00,138
687,2.89,2025-07-22 17:34:00,138
688,3.07,2025-07-22 17:34:03,138
689,2.88,2025-07-22 17:34:03,138
690,2.91,2025-07-22 17:34:03,139
691,2.89,2025-07-22 17:34:03,139
692,2.93,2025-07-22 17:34:03,139
693,2.95,2025-07-22 17:34:08,139
694,2.9,2025-07-22 17:34:08,139
695,2.9,2025-07-22 17:34:08,140
696,2.89,2025-07-22 17:34:08,140
697,2.91,2025-07-22 17:34:08,140
698,2.91,2025-07-22 17:34:13,140
699,2.9,2025-07-22 17:34:13,140
700,2.94,2025-07-22 17:34:13,141
701,2.39,2025-07-22 17:34:13,141
702,2.84,2025-07-22 17:34:13,141
703,3.06,2025-07-22 17:34:18,141
704,3.4,2025-07-22 17:34:18,141
705,3.6,2025-07-22 17:34:18,142
706,2.61,2025-07-22 17:34:18,142
707,2.8,2025-07-22 17:34:18,142
708,2.76,2025-07-22 17:34:24,142
709,2.78,2025-07-22 17:34:24,142
710,2.78,2025-07-22 17:34:24,143
711,2.78,2025-07-22 17:34:24,143
712,2.79,2025-07-22 17:34:24,143
713,2.78,2025-07-22 17:34:29,143
714,2.8,2025-07-22 17:34:29,143
715,2.81,2025-07-22 17:34:29,144
716,2.81,2025-07-22 17:34:29,144
717,2.81,2025-07-22 17:34:29,144
718,3.08,2025-07-22 17:34:35,144
719,2.96,2025-07-22 17:34:35,144
720,2.78,2025-07-22 17:34:35,145
721,2.78,2025-07-22 17:34:35,145
722,2.79,2025-07-22 17:34:35,145
723,2.81,2025-07-22 17:34:40,145
724,2.81,2025-07-22 17:34:40,145
725,2.79,2025-07-22 17:34:40,146
726,2.8,2025-07-22 17:34:40,146
727,2.73,2025-07-22 17:34:40,146
728,2.81,2025-07-22 17:34:45,146
729,2.82,2025-07-22 17:34:45,146
730,2.85,2025-07-22 17:34:45,147
731,3.03,2025-07-22 17:34:45,147
732,3.07,2025-07-22 17:34:45,147
733,3.03,2025-07-22 17:34:50,147
734,2.96,2025-07-22 17:34:50,147
735,2.88,2025-07-22 17:34:50,148
736,2.9,2025-07-22 17:34:50,148
737,2.94,2025-07-22 17:34:50,148
738,2.95,2025-07-22 17:34:55,148
739,2.96,2025-07-22 17:34:55,148
740,3.0,2025-07-22 17:34:55,149
741,3.02,2025-07-22 17:34:55,149
742,3.09,2025-07-22 17:34:55,149
743,3.01,2025-07-22 17:35:01,149
744,3.05,2025-07-22 17:35:01,149
745,3.01,2025-07-22 17:35:01,150
746,3.03,2025-07-22 17:35:01,150
747,3.02,2025-07-22 17:35:01,150
748,2.9,2025-07-22 17:35:09,150
749,2.8,2025-07-22 17:35:09,150
750,2.79,2025-07-22 17:35:09,151
751,2.79,2025-07-22 17:35:09,151
752,2.81,2025-07-22 17:35:09,151
753,2.84,2025-07-22 17:35:12,151
754,2.84,2025-07-22 17:35:12,151
755,2.85,2025-07-22 17:35:12,152
756,2.84,2025-07-22 17:35:12,152
757,2.85,2025-07-22 17:35:12,152
758,2.86,2025-07-22 17:35:16,152
759,3.01,2025-07-22 17:35:16,152
760,2.95,2025-07-22 17:35:16,153
761,2.95,2025-07-22 17:35:16,153
762,2.96,2025-07-22 17:35:16,153
763,2.91,2025-07-22 17:35:21,153
764,2.75,2025-07-22 17:35:21,153
765,2.69,2025-07-22 17:35:21,154
766,2.78,2025-07-22 17:35:21,154
767,2.94,2025-07-22 17:35:21,154
768,2.87,2025-07-22 17:35:27,154
769,2.91,2025-07-22 17:35:27,154
770,2.22,2025-07-22 17:35:27,155
771,3.03,2025-07-22 17:35:27,155
772,3.0,2025-07-22 17:35:27,155
773,2.98,2025-07-22 17:35:32,155
774,2.98,2025-07-22 17:35:32,155
775,3.0,2025-07-22 17:35:32,156
776,3.01,2025-07-22 17:35:32,156
777,3.02,2025-07-22 17:35:32,156
778,2.92,2025-07-22 17:35:41,156
779,3.08,2025-07-22 17:35:41,156
780,2.77,2025-07-22 17:35:41,157
781,2.77,2025-07-22 17:35:41,157
782,2.78,2025-07-22 17:35:41,157
783,2.79,2025-07-22 17:35:44,157
784,2.83,2025-07-22 17:35:44,157
785,2.85,2025-07-22 17:35:44,158
786,2.93,2025-07-22 17:35:44,158
787,2.91,2025-07-22 17:35:44,158
788,2.99,2025-07-22 17:35:47,158
789,3.04,2025-07-22 17:35:47,158
790,2.92,2025-07-22 17:35:47,159
791,2.93,2025-07-22 17:35:47,159
792,2.92,2025-07-22 17:35:47,159
793,2.91,2025-07-22 17:35:54,159
794,2.96,2025-07-22 17:35:54,159
795,2.89,2025-07-22 17:35:54,160
796,2.94,2025-07-22 17:35:54,160
797,2.88,2025-07-22 17:35:54,160
798,2.91,2025-07-22 17:36:00,160
